612,134,791,313
512,154,691,333
510,112,659,261
526,112,676,261
512,154,691,333
552,174,731,353
612,174,791,353
672,174,851,353
659,112,808,261
532,134,711,313
532,174,711,353
757,135,860,238
757,123,860,227
632,74,811,254
552,94,731,273
612,134,791,313
609,145,758,294
609,161,758,311
692,128,841,277
691,114,871,293
245,189,317,261
541,165,613,237
473,134,652,313
512,114,691,293
473,134,652,313
492,134,672,313
355,189,480,314
715,148,839,272
715,134,839,259
342,189,466,314
328,189,452,314
692,128,841,277
314,189,438,314
659,112,808,261
342,203,466,328
659,128,808,277
328,203,452,328
687,134,812,259
328,203,452,328
673,120,798,245
659,189,784,314
300,286,424,411
601,112,688,198
457,434,561,538
649,179,736,266
526,423,630,526
621,218,707,304
582,218,669,304
534,74,621,160
469,434,572,538
534,74,621,160
576,128,725,277
576,128,725,277
559,128,709,277
572,134,751,313
632,94,811,273
552,154,731,333
535,93,659,217
659,148,784,272
349,237,421,309
342,218,429,304
646,93,770,217
342,227,429,314
673,79,798,203
632,134,756,259
325,245,397,317
687,107,812,231
373,237,445,309
659,128,808,277
652,114,831,293
701,134,825,259
371,227,458,314
333,218,419,304
559,128,709,277
784,245,908,369
506,6,592,93
825,79,950,203
476,178,626,327
231,203,355,328
798,93,922,217
853,134,977,259
853,107,977,231
293,154,473,333
751,154,930,333
652,174,831,353
853,107,977,231
300,189,424,314
294,178,443,327
853,107,977,231
853,107,977,231
314,189,438,314
853,107,977,231
853,107,977,231
294,161,443,311
300,203,424,328
906,112,1010,215
294,178,443,327
894,107,1019,231
652,154,831,333
632,134,811,313
1050,54,1229,234
532,134,711,313
825,112,974,261
672,134,851,313
672,134,851,313
711,134,891,313
792,78,941,228
520,137,735,352
858,95,1007,244
1057,62,1206,211
433,174,612,353
808,626,958,775
577,148,701,272
572,342,676,446
563,148,687,272
758,112,908,261
676,112,825,261
632,94,811,273
1181,453,1253,525
460,112,609,261
460,112,609,261
893,253,965,325
342,120,466,245
344,128,493,277
360,112,510,261
377,128,526,277
438,93,563,217
410,128,559,277
410,128,559,277
410,145,559,294
410,128,559,277
438,120,563,245
466,120,590,245
460,112,609,261
612,134,791,313
1068,503,1171,607
592,134,771,313
1056,503,1160,607
672,154,851,333
1045,503,1148,607
1197,477,1269,549
612,154,791,333
1189,469,1261,541
521,120,646,245
493,112,642,261
526,145,676,294
1165,501,1237,573
922,549,1047,673
731,154,910,333
1149,506,1235,592
532,174,711,353
929,572,1033,676
